Year,Scenario,Africa,Asia-Pacific Developed,Eastern Asia,Europe,Eurasia,Latin America and Caribbean,Middle East,North America,Southern Asia,South-East Asia and Developing Pacific,Global
2047,ssp119,-5.726232433,-4.875308895,-9.946984768,-10.58290768,-7.754647732,-5.813117075,-12.40342464,-10.66140528,-10.50570745,-7.39508338,-6.969588391
2048,ssp119,-6.121534252,-5.22781291,-10.66918802,-11.24339247,-8.24352026,-6.056395578,-13.08321228,-11.34893866,-11.47201414,-7.764804792,-7.414732273
2049,ssp119,-6.175228977,-5.136244202,-10.83555651,-11.6105504,-8.533563137,-6.283286619,-13.39307871,-11.61748428,-11.08112497,-8.12289567,-7.602886362
2050,ssp119,-6.313127422,-5.259121084,-11.22042274,-12.10065985,-8.931550503,-6.627598095,-13.7351016,-12.07751484,-11.54719038,-8.422172022,-7.896706665
2051,ssp119,-6.516744518,-5.473615551,-11.33763075,-12.18721914,-9.130021095,-6.897649574,-14.25971355,-12.20356817,-11.8425128,-8.032210779,-7.987593866
2052,ssp119,-6.782935524,-5.919164324,-11.55196524,-12.1593442,-9.030600071,-6.611197519,-14.2853817,-12.14992495,-12.02231665,-8.643821669,-8.106409608
2053,ssp119,-6.558732891,-5.759047651,-11.60915661,-12.37463808,-9.070444107,-6.761647272,-14.15247192,-12.16984386,-11.9890954,-8.698298407,-8.050684163
2054,ssp119,-6.542357349,-5.327490473,-11.78881931,-12.53118849,-9.510468006,-6.783794689,-14.1779274,-12.49962158,-11.97394247,-8.748012495,-8.158287525
2055,ssp119,-6.948489094,-5.734801197,-11.81832886,-12.62679052,-9.590547562,-6.979471731,-14.9033412,-12.53977365,-12.15535612,-8.78864665,-8.274391521
2056,ssp119,-7.062997246,-5.876073027,-12.02710485,-12.63027573,-9.330783367,-6.764277506,-15.00928917,-12.5225584,-12.31177301,-9.199793291,-8.286267267
2057,ssp119,-6.674160385,-5.794864082,-12.15680408,-12.67306995,-9.717345715,-6.674653339,-14.5052599,-12.88146944,-12.51469965,-9.376151991,-8.194271713
2058,ssp119,-6.852468395,-6.002730751,-12.46699953,-13.13126564,-10.08576155,-6.940278578,-15.15830936,-13.08697433,-12.80775232,-8.606792879,-8.492303251
2059,ssp119,-6.970796967,-5.884883308,-12.38937616,-12.85651112,-9.74405241,-6.99796896,-15.11926594,-12.4487731,-13.31964083,-9.301600885,-8.343367058
2060,ssp119,-7.03850975,-5.920556688,-12.57677507,-12.68198538,-9.870263577,-6.921890783,-15.22539892,-12.82269688,-12.83324118,-9.512614679,-8.53902687
2061,ssp119,-7.174004459,-5.92425456,-12.82320976,-13.00668335,-10.01750803,-7.089005518,-15.55999985,-13.21435566,-13.27665014,-9.071003389,-8.617864348
2062,ssp119,-7.433058167,-5.786965036,-12.81486654,-13.1998105,-9.954630375,-7.289780426,-15.90864458,-13.0457799,-13.51671858,-8.934830618,-8.526749263
2063,ssp119,-7.343966866,-5.776738071,-12.88676214,-13.24034262,-10.05648613,-6.995903778,-16.02502527,-13.11344738,-13.25679083,-9.713858557,-8.602587903
2064,ssp119,-7.196775341,-5.91719141,-12.72348452,-13.19596815,-9.749554157,-6.956412363,-15.54694881,-12.97063608,-13.3094203,-9.722376299,-8.567864026
2065,ssp119,-7.366365814,-5.924928331,-13.02956676,-13.09956264,-9.903814316,-7.025110531,-15.96946421,-13.12691326,-13.27230902,-9.508924437,-8.675237913
2066,ssp119,-7.046212578,-6.262256527,-12.83972311,-13.07019472,-9.835362911,-7.231936264,-16.00971594,-12.84055109,-13.86349936,-9.567570162,-8.590942037
2067,ssp119,-7.171471024,-6.076146984,-12.74707556,-13.14257097,-10.08411932,-7.242514896,-15.54240408,-13.0930335,-13.18747778,-9.756041479,-8.640136601
2068,ssp119,-7.552634144,-6.031335974,-13.04885054,-13.4028635,-10.31238127,-7.196674395,-16.69435015,-13.42132635,-13.85922594,-9.485583735,-8.855207919
2069,ssp119,-7.358252907,-6.037414455,-12.97551155,-13.36177158,-10.1628871,-6.987172174,-16.12713184,-13.22713633,-13.6306016,-9.703218889,-8.722415767
2070,ssp119,-7.438111687,-5.987074995,-13.3675499,-13.64782619,-10.64550447,-7.427691746,-16.08558788,-13.54952879,-14.04137297,-9.110043001,-8.864808146
